Question	Answer	Source	Metadata
Are you a faith based organization?	We used to be a strictly Christian organization but now we work with children of all faiths and welcome people of all faiths as sponsors, partners, employees and leaders here at ChildFund.	Editorial	
Why aren't you Christian?	We used to be a strictly Christian organization but now we work with children of all faiths and welcome people of all faiths as sponsors, partners, employees and leaders here at ChildFund.	Editorial	
Are you Christian?	We used to be a strictly Christian organization but now we work with children of all faiths and welcome people of all faiths as sponsors, partners, employees and leaders here at ChildFund.	Editorial	
Are you a religious organization?	We work with children of all faiths and welcome people of all faiths as sponsors, partners, employees and leaders here at ChildFund.	Editorial	
Are you religious?	We work with children of all faiths and welcome people of all faiths as sponsors, partners, employees and leaders here at ChildFund.	Editorial	
Why aren't you a religious organization?	We work with children of all faiths and welcome people of all faiths as sponsors, partners, employees and leaders here at ChildFund.	Editorial	
How do I change my credit card?	Here's how you can update your credit card information:   1. Log in to your online account [here](https://www.childfund.org/Authenticate/Login.aspx)   2. Click on the "My Giving" tab.   3. Under the Payment Information section, click the orange "Add Funding Source" option.  4. Input your new funding source information and click "Add."  5. After the new funding source has been added, go back to the "My Giving" tab and click on the orange "Update" option under the "Scheduled Giving" section.  6. Choose the new funding source and payment frequency and click "Update."	Editorial	
How do I see my account?	You can see your account by logging in [here](https://www.childfund.org/Authenticate/Login.aspx) first.	Editorial	
See my account.	You can see your account by logging in [here](https://www.childfund.org/Authenticate/Login.aspx) first.	Editorial	
Get to my account.	You can see your account by logging in [here](https://www.childfund.org/Authenticate/Login.aspx) first.	Editorial	
How can I update my credit card?	Here's how you can update your credit card information:   1. Log in to your online account [here](https://www.childfund.org/Authenticate/Login.aspx)  2. Click on the "My Giving" tab.   3. Under the Payment Information section, click the orange "Add Funding Source" option.  4. Input your new funding source information and click "Add."  5. After the new funding source has been added, go back to the "My Giving" tab and click on the orange "Update" option under the "Scheduled Giving" section.  6. Choose the new funding source and payment frequency and click "Update."	Editorial	
Update credit card info	Here's how you can update your credit card information:   1. Log in to your online account [here](https://www.childfund.org/Authenticate/Login.aspx)  2. Click on the "My Giving" tab.   3. Under the Payment Information section, click the orange "Add Funding Source" option.  4. Input your new funding source information and click "Add."  5. After the new funding source has been added, go back to the "My Giving" tab and click on the orange "Update" option under the "Scheduled Giving" section.  6. Choose the new funding source and payment frequency and click "Update."	Editorial	
How can I visit my sponsored child?	Our staff would love to help you plan your trip, at least four months before your visit. To ensure the safety of both you and your sponsored child, we'll need to know the number of visitors who are, or will be, age 18 or older at the time of your trip. All adult visitors will need to complete and return three forms before the visit, for approval. After that, we'll work with you to help everyone have an incredible experience! You can get in touch with a ChildFund team member here to start planning your trip by calling 1.800.776.6767 or by sending an email to Questions@ChildFund.org.	Editorial	
Visit sponsored child	Our staff would love to help you plan your trip, at least four months before your visit. To ensure the safety of both you and your sponsored child, we'll need to know the number of visitors who are, or will be, age 18 or older at the time of your trip. All adult visitors will need to complete and return three forms before the visit, for approval. After that, we'll work with you to help everyone have an incredible experience! You can get in touch with a ChildFund team member here to start planning your trip by calling 1.800.776.6767 or by sending an email to Questions@ChildFund.org.	Editorial	
Plan trip to visit child	Our staff would love to help you plan your trip, at least four months before your visit. To ensure the safety of both you and your sponsored child, we'll need to know the number of visitors who are, or will be, age 18 or older at the time of your trip. All adult visitors will need to complete and return three forms before the visit, for approval. After that, we'll work with you to help everyone have an incredible experience! You can get in touch with a ChildFund team member here to start planning your trip by calling 1.800.776.6767 or by sending an email to Questions@ChildFund.org.	Editorial	
Plan trip to visit sponsored child	Our staff would love to help you plan your trip, at least four months before your visit. To ensure the safety of both you and your sponsored child, we'll need to know the number of visitors who are, or will be, age 18 or older at the time of your trip. All adult visitors will need to complete and return three forms before the visit, for approval. After that, we'll work with you to help everyone have an incredible experience! You can get in touch with a ChildFund team member here to start planning your trip by calling 1.800.776.6767 or by sending an email to Questions@ChildFund.org.	Editorial	
I want to visit my sponsored child	Our staff would love to help you plan your trip, at least four months before your visit. To ensure the safety of both you and your sponsored child, we'll need to know the number of visitors who are, or will be, age 18 or older at the time of your trip. All adult visitors will need to complete and return three forms before the visit, for approval. After that, we'll work with you to help everyone have an incredible experience! You can get in touch with a ChildFund team member here to start planning your trip by calling 1.800.776.6767 or by sending an email to Questions@ChildFund.org.	Editorial	
How can I cancel sponsorship?	While we're sorry to hear you'd like to cancel your sponsorship, you can learn how to cancel by sending an email to Questions@ChildFund.org or by calling 1.800.776.6767. It will help to have you your sponsor ID number ready for quicker assistance.	Editorial	
How do I stop sponsoring a child?	While we're sorry to hear you'd like to cancel your sponsorship, you can learn how to cancel by sending an email to Questions@ChildFund.org or by calling 1.800.776.6767. It will help to have you your sponsor ID number ready for quicker assistance.	Editorial	
How do I stop sponsoring?	While we're sorry to hear you'd like to cancel your sponsorship, you can learn how to cancel by sending an email to Questions@ChildFund.org or by calling 1.800.776.6767. It will help to have you your sponsor ID number ready for quicker assistance.	Editorial	
Stop sponsorship	While we're sorry to hear you'd like to cancel your sponsorship, you can learn how to cancel by sending an email to Questions@ChildFund.org or by calling 1.800.776.6767. It will help to have you your sponsor ID number ready for quicker assistance.	Editorial	
stop sponsoring	While we're sorry to hear you'd like to cancel your sponsorship, you can learn how to cancel by sending an email to Questions@ChildFund.org or by calling 1.800.776.6767. It will help to have you your sponsor ID number ready for quicker assistance.	Editorial	
cancel sponsorship	While we're sorry to hear you'd like to cancel your sponsorship, you can learn how to cancel by sending an email to Questions@ChildFund.org or by calling 1.800.776.6767. It will help to have you your sponsor ID number ready for quicker assistance.	Editorial	
cancel sponsoring	While we're sorry to hear you'd like to cancel your sponsorship, you can learn how to cancel by sending an email to Questions@ChildFund.org or by calling 1.800.776.6767. It will help to have you your sponsor ID number ready for quicker assistance.	Editorial	
Can I pay online?	Yes, you can pay online! We accept Visa, MasterCard, Discover and American Express. You can choose either one time only or recurring donations. If you would like to make recurring donations, you can arrange for automatic payments to be drawn from your checking or savings accounts. Your donation request will be processed on the evening of the date that you have selected, or on the next business day. Once your donation has been processed, you will be able to view the updated information on our website.	Editorial	
Can I pay with a credit card?	Yes, you can pay online! We accept Visa, MasterCard, Discover and American Express. You can choose either one time only or recurring donations. If you would like to make recurring donations, you can arrange for automatic payments to be drawn from your checking or savings accounts. Your donation request will be processed on the evening of the date that you have selected, or on the next business day. Once your donation has been processed, you will be able to view the updated information on our website.	Editorial	
How does online payment work?	Yes, you can pay online! We accept Visa, MasterCard, Discover and American Express. You can choose either one time only or recurring donations. If you would like to make recurring donations, you can arrange for automatic payments to be drawn from your checking or savings accounts. Your donation request will be processed on the evening of the date that you have selected, or on the next business day. Once your donation has been processed, you will be able to view the updated information on our website.	Editorial	
Online payment	Yes, you can pay online! We accept Visa, MasterCard, Discover and American Express. You can choose either one time only or recurring donations. If you would like to make recurring donations, you can arrange for automatic payments to be drawn from your checking or savings accounts. Your donation request will be processed on the evening of the date that you have selected, or on the next business day. Once your donation has been processed, you will be able to view the updated information on our website.	Editorial	
pay online	Yes, you can pay online! We accept Visa, MasterCard, Discover and American Express. You can choose either one time only or recurring donations. If you would like to make recurring donations, you can arrange for automatic payments to be drawn from your checking or savings accounts. Your donation request will be processed on the evening of the date that you have selected, or on the next business day. Once your donation has been processed, you will be able to view the updated information on our website.	Editorial	
Can I pay with cash or check?	Certainly! You can mail payments to us at 2821 Emerywood Parkway, Richmond, VA 23294.	Editorial	
How do I pay with cash?	You can mail payments to us at 2821 Emerywood Parkway, Richmond, VA 23294.	Editorial	
Pay with cash	You can mail payments to us at 2821 Emerywood Parkway, Richmond, VA 23294.	Editorial	
How do I pay with a check?	You can mail payments to us at 2821 Emerywood Parkway, Richmond, VA 23294.	Editorial	
Pay with check	Yes, you can do that. You can mail payments to us at 2821 Emerywood Parkway, Richmond, VA 23294.	Editorial	
Who is your president?	Anne Goddard is ChildFund's president and CEO.	Editorial	
Who is your CEO?	Anne Goddard is ChildFund's president and CEO.	Editorial	
Who is Anne Goddard?	Anne Goddard is ChildFund's president and CEO.	Editorial	
Is my child OK?	Thanks for checking on your sponsored child. If anything has happened to your sponsored child, you will be notified as soon as possible. You can also find updates about emergencies [on our emergency page](https://www.childfund.org/list/?type=emergency).	Editorial	
Is my child okay?	Thanks for checking on your sponsored child. If anything has happened to your sponsored child, you will be notified as soon as possible. You can also find updates about emergencies [on our emergency page](https://www.childfund.org/list/?type=emergency).	Editorial	
Is my sponsored child OK?	Thanks for checking on your sponsored child. If anything has happened to your sponsored child, you will be notified as soon as possible. You can also find updates about emergencies [on our emergency page](https://www.childfund.org/list/?type=emergency).	Editorial	
Is my sponsored child okay?	Thanks for checking on your sponsored child. If anything has happened to your sponsored child, you will be notified as soon as possible. You can also find updates about emergencies [on our emergency page](https://www.childfund.org/list/?type=emergency).	Editorial	
Is my kid okay?	Thanks for checking on your sponsored child. If anything has happened to your sponsored child, you will be notified as soon as possible. You can also find updates about emergencies [on our emergency page](https://www.childfund.org/list/?type=emergency).	Editorial	
How do I know if my sponsored child is okay?	Thanks for checking on your sponsored child. If anything has happened to your sponsored child, you will be notified as soon as possible. You can also find updates about emergencies [on our emergency page](https://www.childfund.org/list/?type=emergency).	Editorial	
How do I know if my sponsored child is ok?	Thanks for checking on your sponsored child. If anything has happened to your sponsored child, you will be notified as soon as possible. You can also find updates about emergencies [on our emergency page](https://www.childfund.org/list/?type=emergency).	Editorial	
I'm locked out of my account.	We're sorry to hear you're locked out of your account. For sponsorship inquiries, you can reach our Sponsor Care team by phone (1.800.776.6767) or by email (questions@childfund.org). It will help to have your ID number ready for quicker assistance!	Editorial	
What do I do if I'm locked out of my account?	We're sorry to hear you're locked out of your account. For sponsorship inquiries, you can reach our Sponsor Care team by phone (1.800.776.6767) or by email (questions@childfund.org). It will help to have your ID number ready for quicker assistance!	Editorial	
account locked out	We're sorry to hear you're locked out of your account. For sponsorship inquiries, you can reach our Sponsor Care team by phone (1.800.776.6767) or by email (questions@childfund.org). It will help to have your ID number ready for quicker assistance!	Editorial	
Can't get into my account.	We're sorry to hear you're locked out of your account. For sponsorship inquiries, you can reach our Sponsor Care team by phone (1.800.776.6767) or by email (questions@childfund.org). It will help to have your ID number ready for quicker assistance!	Editorial	
locked account	We're sorry to hear you're locked out of your account. For sponsorship inquiries, you can reach our Sponsor Care team by phone (1.800.776.6767) or by email (questions@childfund.org). It will help to have your ID number ready for quicker assistance!	Editorial	
Did you receive my money?	We appreciate your question. To check on the status of your payment, you can reach our Sponsor Care team by calling 1.800.776.6767 or by emailing questions@childfund.org. It will help to have your ID number ready for quicker assistance!	Editorial	
Did you get my last payment?	We appreciate your question. To check on the status of your payment, you can reach our Sponsor Care team by calling 1.800.776.6767 or by emailing questions@childfund.org. It will help to have your ID number ready for quicker assistance!	Editorial	
Contact ID is incorrect	Sorry for the trouble! Please reach out to our Sponsor Care team by calling 1.800.776.6767 or by emailing questions@childfund.org. It will help to have your ID number ready for quicker assistance!	Editorial	
It says my Contact ID doesn't work	Sorry for the trouble! Please reach out to our Sponsor Care team by calling 1.800.776.6767 or by emailing questions@childfund.org. It will help to have your ID number ready for quicker assistance!	Editorial	
Contact ID won't work	Sorry for the trouble! Please reach out to our Sponsor Care team by calling 1.800.776.6767 or by emailing questions@childfund.org. It will help to have your ID number ready for quicker assistance!	Editorial	
Can't login	Sorry for the trouble! Please reach out to our Sponsor Care team by calling 1.800.776.6767 or by emailing questions@childfund.org. It will help to have your ID number ready for quicker assistance!	Editorial	
Wont let me log in	Sorry for the trouble! Please reach out to our Sponsor Care team by calling 1.800.776.6767 or by emailing questions@childfund.org. It will help to have your ID number ready for quicker assistance!	Editorial	
Did my child get his birthday gift?	Thank you for sending your sponsored child a gift! Please note gifts are sent at the end of every month. To check on the status of your gift, you can reach our Sponsor Care team by phone (1.800.776.6767) or by email (questions@childfund.org). It will help to have your ID number ready for quicker assistance!	Editorial	
Did my child receive his birthday gift?	Thank you for sending your sponsored child a gift! Please note gifts are sent at the end of every month. To check on the status of your gift, you can reach our Sponsor Care team by phone (1.800.776.6767) or by email (questions@childfund.org). It will help to have your ID number ready for quicker assistance!	Editorial	
Did my child get her birthday gift?	Thank you for sending your sponsored child a gift! Please note gifts are sent at the end of every month. To check on the status of your gift, you can reach our Sponsor Care team by phone (1.800.776.6767) or by email (questions@childfund.org). It will help to have your ID number ready for quicker assistance!	Editorial	
Did my kid get the birthday gift i sent her?	Thank you for sending your sponsored child a gift! Please note gifts are sent at the end of every month. To check on the status of your gift, you can reach our Sponsor Care team by phone (1.800.776.6767) or by email (questions@childfund.org). It will help to have your ID number ready for quicker assistance!	Editorial	
Did my kid get the birthday gift i sent him?	Thank you for sending your sponsored child a gift! Please note gifts are sent at the end of every month. To check on the status of your gift, you can reach our Sponsor Care team by phone (1.800.776.6767) or by email (questions@childfund.org). It will help to have your ID number ready for quicker assistance!	Editorial	
My  child 's community got shut down and I wasn't notified.	We understand your concern. Our goal is to help the local partner organizations through which we work in communities to become self sufficient, which is what has happened in your child's community, thanks to your continued support. While we are happy the community is now self sustaining, we also understand that the end of a sponsorship is difficult for both children and sponsors. Our Sponsor Care team can contact the National Office to see if there is any way that your letter and gift can be delivered. Please give them a call at 1.800.776.6767, or email them at questions@childfund.org. Again, we're so grateful for your support.	Editorial	
shut down community	We understand your concern. Our goal is to help the local partner organizations through which we work in communities to become self sufficient, which is what has happened in your child's community, thanks to your continued support. While we are happy the community is now self sustaining, we also understand that the end of a sponsorship is difficult for both children and sponsors. Our Sponsor Care team can contact the National Office to see if there is any way that your letter and gift can be delivered. Please give them a call at 1.800.776.6767, or email them at questions@childfund.org. Again, we're so grateful for your support.	Editorial	
What can I send?	We're glad to hear you'd like to send your sponsored child mail. Oftentimes, bulky objects create difficulties with customs officials, but a 6x9 or 8x10 envelope is fine to mail. Just make sure that anything you include is flat, lightweight and not easily broken. Please also avoid items that can melt. We suggest that you avoid sending any sort of bulky items to reduce theft and the possibility of prohibitive taxes or fees.	Editorial	
Send gift	We're glad to hear you'd like to send your sponsored child mail. Oftentimes, bulky objects create difficulties with customs officials, but a 6x9 or 8x10 envelope is fine to mail. Just make sure that anything you include is flat, lightweight and not easily broken. Please also avoid items that can melt. We suggest that you avoid sending any sort of bulky items to reduce theft and the possibility of prohibitive taxes or fees.	Editorial	
send present	We're glad to hear you'd like to send your sponsored child mail. Oftentimes, bulky objects create difficulties with customs officials, but a 6x9 or 8x10 envelope is fine to mail. Just make sure that anything you include is flat, lightweight and not easily broken. Please also avoid items that can melt. We suggest that you avoid sending any sort of bulky items to reduce theft and the possibility of prohibitive taxes or fees.	Editorial	
send presents	We're glad to hear you'd like to send your sponsored child mail. Oftentimes, bulky objects create difficulties with customs officials, but a 6x9 or 8x10 envelope is fine to mail. Just make sure that anything you include is flat, lightweight and not easily broken. Please also avoid items that can melt. We suggest that you avoid sending any sort of bulky items to reduce theft and the possibility of prohibitive taxes or fees.	Editorial	
send gifts	We're glad to hear you'd like to send your sponsored child mail. Oftentimes, bulky objects create difficulties with customs officials, but a 6x9 or 8x10 envelope is fine to mail. Just make sure that anything you include is flat, lightweight and not easily broken. Please also avoid items that can melt. We suggest that you avoid sending any sort of bulky items to reduce theft and the possibility of prohibitive taxes or fees.	Editorial	
What can I send my sponsored child?	We're glad to hear you'd like to send your sponsored child mail. Oftentimes, bulky objects create difficulties with customs officials, but a 6x9 or 8x10 envelope is fine to mail. Just make sure that anything you include is flat, lightweight and not easily broken. Please also avoid items that can melt. We suggest that you avoid sending any sort of bulky items to reduce theft and the possibility of prohibitive taxes or fees.	Editorial	
What can I send in the mail?	We're glad to hear you'd like to send your sponsored child mail. Oftentimes, bulky objects create difficulties with customs officials, but a 6x9 or 8x10 envelope is fine to mail. Just make sure that anything you include is flat, lightweight and not easily broken. Please also avoid items that can melt. We suggest that you avoid sending any sort of bulky items to reduce theft and the possibility of prohibitive taxes or fees.	Editorial	
What does the logo mean?	The green child in our logo is named "Watoto," which means "children" in Swahili.	Editorial	
What is the green logo?	The green child in our logo is named "Watoto," which means "children" in Swahili.	Editorial	
What is your logo?	The green child in our logo is named "Watoto," which means "children" in Swahili.	Editorial	
How can I partner?	Thanks for your question about partnerships! While our wish is to help any child in need, oftentimes we are unable to provide funding for individual projects, as we have a fair number of requests. Check with your nearest ChildFund location to see if there are opportunities for partnerships or assistance. Best wishes!	Editorial	
Is it possible to make a partnership?	Thanks for your question about partnerships! While our wish is to help any child in need, oftentimes we are unable to provide funding for individual projects, as we have a fair number of requests. Check with your nearest ChildFund location to see if there are opportunities for partnerships or assistance. Best wishes!	Editorial	
How do I partner?	Thanks for your question about partnerships! While our wish is to help any child in need, oftentimes we are unable to provide funding for individual projects, as we have a fair number of requests. Check with your nearest ChildFund location to see if there are opportunities for partnerships or assistance. Best wishes!	Editorial	
How do you do partnerships?	Thanks for your question about partnerships! While our wish is to help any child in need, oftentimes we are unable to provide funding for individual projects, as we have a fair number of requests. Check with your nearest ChildFund location to see if there are opportunities for partnerships or assistance. Best wishes!	Editorial	
Partnership	Thanks for your question about partnerships! While our wish is to help any child in need, oftentimes we are unable to provide funding for individual projects, as we have a fair number of requests. Check with your nearest ChildFund location to see if there are opportunities for partnerships or assistance. Best wishes!	Editorial	
Partnerships	Thanks for your question about partnerships! While our wish is to help any child in need, oftentimes we are unable to provide funding for individual projects, as we have a fair number of requests. Check with your nearest ChildFund location to see if there are opportunities for partnerships or assistance. Best wishes!	Editorial	
How was ChildFund founded?	Our organization was founded in 1938 by Dr. J. Calvitt Clarke in China. ChildFund was first known as China's Children Fund, later as Christian Children's Fund, and now we are known as ChildFund International. Our approach has evolved into one of community development, focused on strengthening families and community structures that make up a child's environment.	Editorial	
history	Our organization was founded in 1938 by Dr. J. Calvitt Clarke in China. ChildFund was first known as China's Children Fund, later as Christian Children's Fund, and now we are known as ChildFund International. Our approach has evolved into one of community development, focused on strengthening families and community structures that make up a child's environment.	Editorial	
How long has ChildFund been around?	Our organization was founded in 1938 by Dr. J. Calvitt Clarke in China. ChildFund was first known as China's Children Fund, later as Christian Children's Fund, and now we are known as ChildFund International. Our approach has evolved into one of community development, focused on strengthening families and community structures that make up a child's environment.	Editorial	
What is ChildFund's history?	Our organization was founded in 1938 by Dr. J. Calvitt Clarke in China. ChildFund was first known as China's Children Fund, later as Christian Children's Fund, and now we are known as ChildFund International. Our approach has evolved into one of community development, focused on strengthening families and community structures that make up a child's environment.	Editorial	
What is the history?	Our organization was founded in 1938 by Dr. J. Calvitt Clarke in China. ChildFund was first known as China's Children Fund, later as Christian Children's Fund, and now we are known as ChildFund International. Our approach has evolved into one of community development, focused on strengthening families and community structures that make up a child's environment.	Editorial	
When did you start?	Our organization was founded in 1938 by Dr. J. Calvitt Clarke in China. ChildFund was first known as China's Children Fund, later as Christian Children's Fund, and now we are known as ChildFund International. Our approach has evolved into one of community development, focused on strengthening families and community structures that make up a child's environment.	Editorial	
When did you begin?	Our organization was founded in 1938 by Dr. J. Calvitt Clarke in China. ChildFund was first known as China's Children Fund, later as Christian Children's Fund, and now we are known as ChildFund International. Our approach has evolved into one of community development, focused on strengthening families and community structures that make up a child's environment.	Editorial	
How many children do you help?	Great question! Through our programs in Africa, Asia, South America and parts of North America, we have been able to help over 18.2 million children. You can find ways to get involved [here](https://www.childfund.org/get-involved/).	Editorial	
How many kids are you helping?	Great question! Through our programs in Africa, Asia, South America and parts of North America, we have been able to help over 18.2 million children. You can find ways to get involved [here](https://www.childfund.org/get-involved/).	Editorial	
How many children are you helping?	Great question! Through our programs in Africa, Asia, South America and parts of North America, we have been able to help over 18.2 million children. You can find ways to get involved [here](https://www.childfund.org/get-involved/).	Editorial	
How many kids have you helped?	Great question! Through our programs in Africa, Asia, South America and parts of North America, we have been able to help over 18.2 million children. You can find ways to get involved [here](https://www.childfund.org/get-involved/).	Editorial	
How many children have you helped?	Great question! Through our programs in Africa, Asia, South America and parts of North America, we have been able to help over 18.2 million children. You can find ways to get involved [here](https://www.childfund.org/get-involved/).	Editorial	
Can I adopt a child?	While we do not have adoption programs, you may learn more about how to sponsor a child [here](http://bit.ly/2lxeEO7).	Editorial	
Can I adopt?	While we do not have adoption programs, you may learn more about how to sponsor a child [here](http://bit.ly/2lxeEO7).	Editorial	
Do you have adoption?	While we do not have adoption programs, you may learn more about how to sponsor a child [here](http://bit.ly/2lxeEO7).	Editorial	
Do you offer adoption?	While we do not have adoption programs, you may learn more about how to sponsor a child [here](http://bit.ly/2lxeEO7).	Editorial	
How can I adopt a child?	While we do not have adoption programs, you may learn more about how to sponsor a child [here](http://bit.ly/2lxeEO7).	Editorial	
How do I keep children healthy?	While we do not have adoption programs, you may learn more about how to sponsor a child [here](http://bit.ly/2lxeEO7).	Editorial	
education	To learn more about how we help children, please visit our "Sectors" page [here] (https://www.childfund.org/about-us/sectors/).	Editorial	
educate kids	To learn more about how we help children, please visit our "Sectors" page [here] (https://www.childfund.org/about-us/sectors/).	Editorial	
school	To learn more about how we help children, please visit our "Sectors" page [here] (https://www.childfund.org/about-us/sectors/).	Editorial	
How do I keep children protected?	To learn more about how we help children, please visit our "Sectors" page [here] (https://www.childfund.org/about-us/sectors/).	Editorial	
How do I keep children educated?	To learn more about how we help children, please visit our "Sectors" page [here] (https://www.childfund.org/about-us/sectors/).	Editorial	
How do I educate children?	To learn more about how we help children, please visit our "Sectors" page [here] (https://www.childfund.org/about-us/sectors/).	Editorial	
child education	To learn more about how we help children, please visit our "Sectors" page [here] (https://www.childfund.org/about-us/sectors/).	Editorial	
How do I protect children?	To learn more about how we help children, please visit our "Sectors" page [here] (https://www.childfund.org/about-us/sectors/).	Editorial	
protect	To learn more about how we help children, please visit our "Sectors" page [here] (https://www.childfund.org/about-us/sectors/).	Editorial	
protection	To learn more about how we help children, please visit our "Sectors" page [here] (https://www.childfund.org/about-us/sectors/).	Editorial	
safety	To learn more about how we help children, please visit our "Sectors" page [here] (https://www.childfund.org/about-us/sectors/).	Editorial	
How do I help kids with health?	To learn more about how we help children, please visit our "Sectors" page [here] (https://www.childfund.org/about-us/sectors/).	Editorial	
help kids health	To learn more about how we help children, please visit our "Sectors" page [here] (https://www.childfund.org/about-us/sectors/).	Editorial	
Where does my sponsored child live?	To find out your sponsored child's address, you can reach our Sponsor Care team by phone (1.800.776.6767) or by email (questions@childfund.org). It will help to have your ID number ready for quicker assistance!	Editorial	
What is my child's address?	To find out your sponsored child's address, you can reach our Sponsor Care team by phone (1.800.776.6767) or by email (questions@childfund.org). It will help to have your ID number ready for quicker assistance!	Editorial	
Where does my kid live?	To find out your sponsored child's address, you can reach our Sponsor Care team by phone (1.800.776.6767) or by email (questions@childfund.org). It will help to have your ID number ready for quicker assistance!	Editorial	
I don't know where my sponsored child lives	To find out your sponsored child's address, you can reach our Sponsor Care team by phone (1.800.776.6767) or by email (questions@childfund.org). It will help to have your ID number ready for quicker assistance!	Editorial	
IDK where my sponsored child lives	To find out your sponsored child's address, you can reach our Sponsor Care team by phone (1.800.776.6767) or by email (questions@childfund.org). It will help to have your ID number ready for quicker assistance!	Editorial	
How do I match a gift?	Thanks for your question! To match a donation, please visit [here](http://matchfinderonline.blackbaud.com/MatchGiftInquiry.aspx?cid=2801).	Editorial	
match donation	Thanks for your question! To match a donation, please visit [here](http://matchfinderonline.blackbaud.com/MatchGiftInquiry.aspx?cid=2801).	Editorial	
How do I match a donation?	Thanks for your question! To match a donation, please visit [here](http://matchfinderonline.blackbaud.com/MatchGiftInquiry.aspx?cid=2801).	Editorial	
Donation matching	Thanks for your question! To match a donation, please visit [here](http://matchfinderonline.blackbaud.com/MatchGiftInquiry.aspx?cid=2801).	Editorial	
Why did Afganistan close?	After a lot of analysis and discussion, we made the decision to close our programs in Afghanistan in order to help reduce our global footprint, so that we can focus on other areas that need attention and make sure that we are maintaining the quality and sustainability of our programs.	Editorial	
Why aren't you in Afganistan?	After a lot of analysis and discussion, we made the decision to close our programs in Afghanistan in order to help reduce our global footprint, so that we can focus on other areas that need attention and make sure that we are maintaining the quality and sustainability of our programs.	Editorial	
What is beyond the fundamentals?	ChildFund goes beyond the fundamentals, working with local communities to help create the environments children need to thrive. With your help, a child can gain access to much more than the fundamentals. Find out how to help [here](http://bit.ly/1t9VsUW).	Editorial	
beyond fundamentals	ChildFund goes beyond the fundamentals, working with local communities to help create the environments children need to thrive. With your help, a child can gain access to much more than the fundamentals. Find out how to help [here](http://bit.ly/1t9VsUW).	Editorial	
fundamentals	ChildFund goes beyond the fundamentals, working with local communities to help create the environments children need to thrive. With your help, a child can gain access to much more than the fundamentals. Find out how to help [here](http://bit.ly/1t9VsUW).	Editorial	
Do you help give clean water?	Yes, helping to provide children and families with access to clean, safe water is one of the many ways that we help people living in poverty. You can learn more about our programs [here](www.childfund.org/about-us/how-we-work/).	Editorial	
water	Helping to provide children and families with access to clean, safe water is one of the many ways that we help people living in poverty. You can learn more about our programs [here](www.childfund.org/about-us/how-we-work/).	Editorial	
clean water	Helping to provide children and families with access to clean, safe water is one of the many ways that we help people living in poverty. You can learn more about our programs [here](www.childfund.org/about-us/how-we-work/).	Editorial	
drinking water	Helping to provide children and families with access to clean, safe water is one of the many ways that we help people living in poverty. You can learn more about our programs [here](www.childfund.org/about-us/how-we-work/).	Editorial	
Do you help give food?	Yes, helping to provide children and families with access to proper nutrition is one of the many ways that we help people living in poverty. You can learn more about our programs [here](www.childfund.org/about-us/how-we-work/).	Editorial	
food	Helping to provide children and families with access to proper nutrition is one of the many ways that we help people living in poverty. You can learn more about our programs [here](www.childfund.org/about-us/how-we-work/).	Editorial	
nutrition	Helping to provide children and families with access to proper nutrition is one of the many ways that we help people living in poverty. You can learn more about our programs [here](www.childfund.org/about-us/how-we-work/).	Editorial	
meals	Helping to provide children and families with access to proper nutrition is one of the many ways that we help people living in poverty. You can learn more about our programs [here](www.childfund.org/about-us/how-we-work/).	Editorial	
Do you provide food?	Yes, helping to provide children and families with access to proper nutrition is one of the many ways that we help people living in poverty. You can learn more about our programs [here](www.childfund.org/about-us/how-we-work/).	Editorial	
Are my donations tax deductible?	Yes, your donations are tax deductible! ChildFund International is a tax exempt organization under section 501(c)(3) of the Internal Revenue Code.	Editorial	
Are donations to ChildFund tax deductible?	Yes, your donations are tax deductible! ChildFund International is a tax exempt organization under section 501(c)(3) of the Internal Revenue Code.	Editorial	
Is my sponsorship tax deductible?	Yes, your donations are tax deductible! ChildFund International is a tax exempt organization under section 501(c)(3) of the Internal Revenue Code.	Editorial	
I need help	What can we help you with today?	Editorial	
I need assistance	What can we help you with today?	Editorial	
Why sponsor a child?	That is a great question and I'm glad you asked. Sponsored kids often tend to achieve a higher level of education and possess the confidence required to chase their dreams. Check out this [link](http://bit.ly/2lxeEO7) to get more information.	Editorial	
why should i sponsor	That is a great question and I'm glad you asked. Sponsored kids often tend to achieve a higher level of education and possess the confidence required to chase their dreams. Check out this [link](http://bit.ly/2lxeEO7) to get more information.	Editorial	
why would I want to sponsor	That is a great question and I'm glad you asked. Sponsored kids often tend to achieve a higher level of education and possess the confidence required to chase their dreams. Check out this [link](http://bit.ly/2lxeEO7) to get more information.	Editorial	
why would I sponsor	That is a great question and I'm glad you asked. Sponsored kids often tend to achieve a higher level of education and possess the confidence required to chase their dreams. Check out this [link](http://bit.ly/2lxeEO7) to get more information.	Editorial	
why sponsor a kid	That is a great question and I'm glad you asked. Sponsored kids often tend to achieve a higher level of education and possess the confidence required to chase their dreams. Check out this [link](http://bit.ly/2lxeEO7) to get more information.	Editorial	
why sponsor	That is a great question and I'm glad you asked. Sponsored kids often tend to achieve a higher level of education and possess the confidence required to chase their dreams. Check out this [link](http://bit.ly/2lxeEO7) to get more information.	Editorial	
